pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
6592	A young girl is dancing	A young girl is standing on one leg	2.7	NEUTRAL
7464	A man is falling off a surfboard in the water	A surfer is riding the wave	3.5	NEUTRAL
3670	A man is walking in the rain	It is raining on a walking man	4.9	ENTAILMENT
9036	A white dog is approaching a golden dog on pebbly beach	Two dogs are playing on a rocky beach	2.9	NEUTRAL
1192	A man and a woman are walking together through the woods	A man and a woman are walking through a wooded area	4.6	ENTAILMENT
1170	A woman is slicing a carrot	A potato is being sliced by a woman	3	NEUTRAL
619	A little boy, who looks fearful, is on a climbing wall.	A boy is climbing up a wall artificially built for climbing and is attached to a rope	3.5	NEUTRAL
6396	A dog is herding a pack of white sheep on a dusty farm	A dog is scattering a pack of white sheep on a dusty farm	3.8	NEUTRAL
6971	A man in a red uniform is making a jump in a dirt bike race	There is no man in a red uniform making a jump in a dirt bike race	3.4	CONTRADICTION
4411	Two men in a race are flipping the tires of a tractor	Two men are competing in a tire rolling race	3.7	NEUTRAL
218	A girl is wearing white clothes and is dancing	A girl in white is dancing	4.9	ENTAILMENT
913	There is no woman being kissed by a man	A woman is being kissed by a man	4.2	CONTRADICTION
1333	The woman is measuring the other woman	A woman is being measured by another woman	4.9	ENTAILMENT
9713	A black and white dog is carrying a huge stick on the green grass	A black and white dog with a large branch is running in the field	4.5	ENTAILMENT
2485	A man is playing a trumpet	The man is playing a guitar	2.2	NEUTRAL
9453	A cat is jumping high into the air in the country	A dog is jumping in the shade of some trees	1.6	NEUTRAL
3598	One man is doing floor exercises	A man is doing exercises	4.3	ENTAILMENT
9401	The man dressed in leather chaps and a purple shirt is standing in front of someone lookers	A man is wearing a purple shirt and black leather chaps and is posing for the camera	3.3	NEUTRAL
8212	A girl is standing in a group and is wearing a black shirt and pink beads	A girl has colored patches on the cheeks	2.4	NEUTRAL
1584	A hole is being burrowed by the badger	A badger is shrewdly digging the earth	4.5	ENTAILMENT
4	There is no boy playing outdoors and there is no man smiling	The young boys are playing outdoors and the man is smiling nearby	3.6	CONTRADICTION
3258	Nobody is playing the guitar	A man is playing the guitar	3.7	CONTRADICTION
9931	A kid is playing guitar	A woman is playing an electric guitar	3	NEUTRAL
2362	The tall person is setting fire to the cameras	A person is burning some cameras with a blow torch	3.8	NEUTRAL
4079	One man is riding a horse	A man is riding a horse	4.7	ENTAILMENT
5904	A man and a woman are driving down the street in a jeep	A man and a woman are driving down the road in an open-air vehicle	4	NEUTRAL
7471	A man and two women in a dark room are sitting at a table with candles	The group of people is sitting in a dim room	3.6	ENTAILMENT
6450	A little boy is wearing a yellow tank top and is laughing	A laughing boy is in a yellow tank and is wearing a top	3.5	NEUTRAL
5920	A woman is slicing potatoes	A horse is being ridden by a person	1	NEUTRAL
9287	A man is skiing down a hill and jumping a red obstacle	A man is snowboarding down a railing in the snow	3.1	NEUTRAL
1241	A woman is dancing and singing with other women	A woman is dancing and singing in the rain	4.1	NEUTRAL
8558	A grey silky dog is lying in the grass and a brown dog is looking on	The brown dog is spotting a black dog lying in the dry grass	3.2	NEUTRAL
4916	A man is singing and playing a guitar	A man is singing and playing a musical instrument	4.5	ENTAILMENT
3123	There is no woman using an eye pencil and applying eye liner to her eyelid	A woman is applying cosmetics to her eyelid	3.1	CONTRADICTION
9759	A laughing child is holding a water gun and getting sprayed with water	A person in a blue jacket is jumping onto a tall cement wall	1.1	NEUTRAL
2366	The person is setting fire to the cameras	A person by some cameras is blowing on a burning torch	3.3	NEUTRAL
7044	A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching	The rider on the blue and black motocross bike is not wearing the pants	3.2	NEUTRAL
7088	A group of football players is standing still in the field	The crowd is watching a football game	2.6	NEUTRAL
4321	A man is drawing	There is no man drawing	3.8	CONTRADICTION
718	A few men in a competition are running outside	A few men are running competitions outside	3.9	NEUTRAL
7951	A boy in a white t-shirt is splashing in shallow water	A boy is running through the water at the beach	3.5	NEUTRAL
1487	The man is not stirring the sauce for the chicken	The man is stirring the sauce for the chicken	4	CONTRADICTION
1964	A person is playing a guitar and singing	One person is playing the guitar and singing	4.9	ENTAILMENT
1525	A woman is planting some flowers	A woman is cutting broccoli	1.2	NEUTRAL
4638	A keyboard is being played by a man	A man is playing a harp	2.4	NEUTRAL
3536	Someone is cooking okra in a pan	Okra is being cooked in a pan	4.9	ENTAILMENT
4191	A dog is playing with a toy	A dog is eating a doll	3.6	NEUTRAL
9211	A guy is leaping into the air in wood	A guy is leaping into the air in a wooded area	4.3	NEUTRAL
9452	A dog is jumping in the shade of some trees	A dog is jumping into the air in the country	3.7	NEUTRAL
3275	A child is running in and out of the ocean waves	A child is running in and out of the waves of the ocean	4.9	ENTAILMENT
3122	A woman is using a pencil for eyes and is applying eye liner to her eyelid	A woman is applying cosmetics to her eyelid	4.6	ENTAILMENT
7043	A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching	The motocross rider is standing naked	2.6	NEUTRAL
6482	The person is not standing on white ice	A person is standing in a vast field of glacial ice	3.1	NEUTRAL
5747	A baby is playing with a toy	A baby tiger is playing with a ball	3.2	NEUTRAL
8122	Some cheerleaders are relaxing	A female cheerleader is sitting on the knee of a male cheerleader	3	NEUTRAL
228	The blond girl is dancing in front of the sound equipment	A girl in white is dancing	3.3	NEUTRAL
8163	Two people are driving a jeep and a girl is sitting on the top of it	Two people are driving a jeep and a lady is sitting on the top of it	4.8	ENTAILMENT
3747	A woman is playing a guitar	A talented man is playing the guitar	3.2	NEUTRAL
2392	The man is not slicing the potato	The man is slicing a potato	2.7	CONTRADICTION
3922	Boys are dancing in front of some people	Boys are not dancing in front of some people	3.8	CONTRADICTION
6358	The woman in a red costume is leaning against a brick wall and playing an instrument	The woman in a red costume is not leaning against a brick wall and is not playing an instrument	3.2	CONTRADICTION
7363	A tower is being looked at by a blonde lady	A woman is looking at the view of a city	3.3	NEUTRAL
4776	A boy is playing guitar	There is no boy playing guitar	3.8	CONTRADICTION
7743	A dog is playing alone on a beach covered by snow	A dog is walking along a snowdrift	3.2	NEUTRAL
6231	Two dogs are playing together on the grass	Two dogs are resting together in the grass	3.3	NEUTRAL
